00:05:28,4
00:35:48,5
01:06:32,9
01:37:03,8
02:09:12,3
02:39:44,2
03:10:05,2
03:46:42,2
04:17:32,2
04:50:42,2
05:21:45,4
05:52:16,20
06:36:28,49
07:09:02,60
07:39:22,64
08:09:42,68
08:35:08,72
09:00:28,73
09:16:13,73
09:31:33,73
09:46:54,73
10:02:27,71
10:17:53,70
10:33:14,70
10:48:47,70
11:04:50,72
11:15:11,71
11:25:44,72
11:37:05,71
11:47:44,72
12:13:04,71
12:28:25,65
12:43:57,59
12:59:30,54
15:18:49,42
15:33:18,38
16:03:38,48
17:04:09,23
18:04:39,0
19:05:16,0
20:05:35,0
21:05:53,0
22:06:18,0
23:06:36,0
